categoria,modo_color,formato,tipo_papel,material,gramaje,cantidad_rango,caras,terminacion,precio_sin_iva,pagina_pdf,fuente,notas
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex,Triplex,1,4/4,,1484,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,350g,1,4/0,,1064,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,350g,1,4/4,,1483,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,300g,1,4/0,,1012,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,300g,1,4/4,,1431,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,200g,1,4/0,,928,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,200g,1,4/4,,1347,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex,Triplex,2 a 25,4/0,,871,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Triplex,Triplex,2 a 25,4/4,,1214,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
Bajadas Fullcolor,fullcolor,A3+,pesado,Ilustracion,350g,2 a 25,4/0,,870,4,lista-low(1).pdf - tabla reconstruida manualmente desde páginas renderizadas,A3+ 47x32 cm; area de impresion 46x31 cm
